estado;alta;ruc;cliente;ubigeo;direccion;tamaño;actividad;ms_us;latitud;longitud
Vigente;8/06/2026;20546840531;OVERLAY SOLUCIONES ESTRUCTURALES S.A.C.;Lima Lima Miraflores;AV. AREQUIPA 4145 2DO PISO(MIRAFLORES, LIMA, LIMA);Mediana Empresa;CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL;US;-12.10707411;-77.0308566
Vigente;9/06/2026;20615920160;SOCIEDAD GASTRONOMICA S.A.C.;Lima Lima San Isidro;AVENIDA LOS CONQUISTADORES 1202 PISO 1, SAN ISIDRO;ND;;US;-12.1086087;-77.03717211
Vigente;9/06/2026;20608013360;NEOHM S.A.C.;Lima Lima Santiago de Surco;JR CARLOS BACA FLOR 420 (SANTIAGO DE SURCO, LIMA, LIMA);Mediana Empresa;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD;MS;-12.13316284;-77.01319226
Vigente;9/06/2026;20613117581;CORPORACION A R MOTOR SOCIEDAD ANONIMA CERRADA;Lima Lima Carabayllo;AV. MZA. L1 LOTE. 27 URB. SANTO DOMINGO ET. OCHO LIMA - LIMA - CARABAYLLO;Micro Empresa;VENTA MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y SUS PARTES PIEZAS Y ACCESORIOS;US;-11.87299904;-77.02950526
Vigente;8/06/2026;20608373064;TRAUMA MEDICAL LOS OLIVOS S.A.C.;Lima Lima Los Olivos;AVENIDA CARLOS ALBERTO IZAGUIRRE 985 URBANIZACION COVIDA ETAPA 1 (LOS OLIVOS, LIMA, LIMA);Micro Empresa;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES NO CLASIFICADOS PREVIAMENTE;MS;-11.99176679;-77.07356751
Vigente;9/06/2026;20615059014;VILLADENTIX S.A.C.;Lima Lima Santiago de Surco;AV. GUARDIA CIVIL NORTE NRO. 480 URB. LOS PARRALES DE SURCO LIMA - LIMA - PISO 2 - SANTIAGO DE SURCO;ND;ACTIVIDADES DE MEDICOS Y ODONTOLOGOS;US;-12.16631488;-76.99233098
Vigente;6/06/2026;20602979173;SINOHYDRO CORPORATION LIMITED, SUCURSAL DEL PERU;Lima Lima San Isidro;ALBERTO DEL CAMPO 409, SAN ISIDRO (MAGDALENA DEL MAR). PISO 8EDIFICIO ALBERTO DEL CAMPO 409 TORRE I PISO 8 DPTO 802;Gran Empresa;CONSTRUCCION DE EDIFICIOS;US;-12.09690446;-77.05814721
Vigente;9/06/2026;20615462188;TNT DELUXE S.A.C.;Lima Lima San Miguel;AVENIDA REPUBLICA DE VENEZUELA 5683 URB VILLALBA- PISO 4-(SAN MIGUEL, LIMA, LIMA);ND;ENSEÑANZA DEPORTIVA Y RECREATIVA;US;-12.06300241;-77.09778479
Vigente;9/06/2026;20615462188;TNT DELUXE S.A.C.;Lima Lima San Miguel;AVENIDA REPUBLICA DE VENEZUELA 5683 URB VILLALBA - PISO 2- (SAN MIGUEL, LIMA, LIMA);ND;ENSEÑANZA DEPORTIVA Y RECREATIVA;MS;-12.06300241;-77.09778479
Vigente;9/06/2026;20600941217;H L FARMA S.A.C.;Lima Lima San Miguel;SEDE 2: CAL. PADRE URRACA NRO. 279 PISO 1 URB. MARANGA LIMA - LIMA - SAN MIGUEL;Micro Empresa;VENTA AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICOS COSMETICOS Y ARTICULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS;MS;-12.0795447;-77.09151008
Vigente;5/06/2026;20615911314;MEGAPRIME STORE E.I.R.L.;Lima Lima Villa El Salvador;MZA. 2 LOTE. 5 Z.I. MZ 2 LT 5 PARCEL 1 PRQIND CONO SUR(VILLA EL SALVADOR, LIMA, LIMA);ND;;US;-12.1920579;-76.93717362
Vigente;8/06/2026;20612641600;BLUE OCEAN TECH SOCIEDAD ANONIMA CERRADA;Lima Lima Miraflores;JIRON SCHELL 517 URBANIZACION LEURO- PISO 3- (MIRAFLORES, LIMA, LIMA);Micro Empresa;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES NO CLASIFICADOS PREVIAMENTE;US;-12.12330704;-77.02662403
Vigente;5/06/2026;20615344347;TREZZE HORIZONTEZ S.A.C.;Lima Lima Comas;AV. HEROES DEL ALTO CENEPA MZ D LOTE 5-6 PISO 1 (COMAS, LIMA, LIMA);ND;FABRICACION DE MUEBLES;US;-11.92930021;-77.06696789
Vigente;8/06/2026;20609675811;SPORTBETS TRUJILLO SOCIEDAD ANONIMA CERRADA . .;LA LIBERTAD TRUJILLO TRUJILLO;AVENIDA HUSARES DE JUNIN 605 PUEBLO JOVEN GRAN CHIMU DE MONSERRATE ZONA A (TRUJILLO, TRUJILLO, LA LIBERTAD);Pequeña Empresa;CONSULTORIA DE INFORMATICA Y GESTION DE INSTALACIONES INFORMATICAS;US;-8.121151086;-79.03369544
Vigente;5/06/2026;20609046881;INVERSIONES RENYAN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;LIMA LIMA SAN MARTIN DE PORRES;AV. PERU NRO. 1723 URB. PERU LIMA - LIMA - SAN MARTIN DE PORRES;Pequeña Empresa;OTRAS ACTIVIDADES DE SERVICIO DE COMIDAS;US;-12.03250858;-77.06393923
Vigente;9/06/2026;20566572151;PRONTOMATIC PERU S.A.C.;Lima Lima Pueblo Libre;AV. BRASIL 1636 PISO 1 FND. OYAGUE (PUEBLO LIBRE, LIMA, LIMA)CONDOMINIO BELO HORIZONTE NORTH 607 TORRE 1 PISO 1 DPTO 1;Micro Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;MS;-12.07541508;-77.05437717
Vigente;8/06/2026;20600369441;NEGOCIOS E INVERSIONES AMELIE S.A.C.;Lima Lima San Isidro;AV. DEL EJERCITO NRO. 1183 INT. 202B URB. ORRANTIA (SAN ISIDRO, LIMA, LIMA);Micro Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-12.10165954;-77.05937935
Vigente;6/06/2026;20602737617;BYB CONSULTING GROUP S.A.C.;LIMA LIMA VILLA MARIA DEL TRIUNFO;AV. 28 DE JULIO NRO. 1200 A.H. NUEVA ESPERANZA (ALTURA PARADERO 5 Y MEDIO) LIMA - LIMA - VILLA MARIA DEL TRIUNFO;Micro Empresa;ACTIVIDADES DE CONSULTORIA DE GESTION;US;-12.17162926;-76.93057507
Vigente;6/06/2026;20603539894;SOLUTION AND INNOVATION AYME S.A.C.;Lima Lima San Juan de Lurigancho;PASAJE LOS DIAMANTES 1570 CUARTO PISO (SAN JUAN DE LURIGANCHO, LIMA, LIMA);Micro Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-12.00605779;-76.99960511
Vigente;5/06/2026;20613204726;DESARROLLO Y PROYECTOS EDIFICA 33 S.R.L.;Lima Lima Barranco;AVENIDA ALMIRANTE MIGUEL GRAU 1020 (BARRANCO, LIMA, LIMA) PISO 1;ND;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;MS;-12.14070562;-77.02211242
Vigente;5/06/2026;20419269701;DOMINIO CONSULTORES EN MARKETING S.A.C.;Lima Lima Miraflores;AV. RICARDO PALMA NRO. 1280 DPTO. 201 URB. AURORA (ALT.DE LA CDRA.60 DE RODSEVELT) (MIRAFLORES, LIMA, LIMA);Micro Empresa;ACTIVIDADES DE CONSULTORIA DE GESTION;US;-12.12338324;-77.01748245
Vigente;5/06/2026;20512528458;SHALOM EMPRESARIAL S.A.C.;LIMA LIMA SAN MARTIN DE PORRES;"AV. CENTRAL MZ A LT 07 – URB. PROGRAMA DE VIVIENDA LUCERITO DE 
NARANJAL, DISTRITO DE SAN MARTÍN DE PORRES";Gran Empresa;TRANSPORTE DE CARGA POR CARRETERA;MS;-11.95991874;-77.09129671
Vigente;5/06/2026;20601225175;CONSORCIO REBAGLIATI DIPLOMADOS S.A.C.;LIMA LIMA LIMA;AV. 28 DE JULIO NRO. 1004 INT. PIS4 (PISO 4) LIMA - LIMA - LIMA;Pequeña Empresa;OTROS TIPOS DE ENSEÑANZA NO CLASIFICADOS PREVIAMENTE;US;-12.06404159;-77.03513482
Vigente;4/06/2026;20604212180;JUNTA DE PROPIETARIOS DEL EDIFICIO CONEXION LIMA;Lima Lima Surquillo;AV. GUARDIA CIVIL NRO. 1321 URB. INDUSTRIAL EL AEROPUERTO LIMA - LIMA - SURQUILLO - PISO 1NEXO CONEXION LIMA TORRE 1 PISO 1 DPTO 1;ND;ACTIVIDADES DE OTRAS ASOCIACIONES NO CLASIFICADOS PREVIAMENTE;US;-12.10648034;-77.0164588
Vigente;4/06/2026;20608013360;NEOHM S.A.C.;Lima Lima Surquillo;CALLE MANET 214 (SURQUILLO, LIMA, LIMA);Mediana Empresa;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD;MS;-12.1141903;-76.99827052
Vigente;6/06/2026;20614026261;RIGGING TOOLS EIRL;LIMA LIMA LIMA;AV. GUILLERMO DANSEY NRO. 828, SEUNDO PISO URB. LIMA INDUSTRIAL LIMA - LIMA - LIMA;ND;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;US;-12.04560782;-77.05001334
Vigente;5/06/2026;20602504507;KALION S.A.C.;LIMA LIMA LIMA;AVENIDA REYNALDO SAAVEDRA PIÑON 2495   PISO 1 URBANIZACION CATA (LIMA, LIMA, LIMA);Micro Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;US;-12.05451021;-77.06730389
Vigente;4/06/2026;20392971590;TODO CAMPO PERU S.A.C;Lima Lima San Juan de Miraflores;CAL.ALBIZIA NRO. 257 URB. PROLONGACION SAN IGNACIO DE MONTERRICO SUR PISO 1 (OFIC. 1) LIMA - LIMA - SANTIAGO DE SURCO;Micro Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-12.14234669;-76.97622676
Vigente;4/06/2026;20610859489;IANPA S.A.C.;Lima Lima Comas;"MZA. B LOTE. 19 ASC. PROPIETARIOS LOS MANANTIALES (A
MEDIA CDRA DE PARQUE ZONAL LA ALBORADA) LIMA - LIMA
- COMAS";Micro Empresa;TRANSPORTE DE CARGA POR CARRETERA;US;-11.90729117;-77.04920945
Vigente;5/06/2026;20601444861;SUMATE AL EXITO E.I.R.L.;Lima Lima Miraflores;CALLE CAPITAN ELIAS AGUIRRE 180 CERCADO DE MIRAFLORES (MIRAFLORES, LIMA, LIMA);Pequeña Empresa;OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS NO CLASIFICADOS PREVIAMENTE;MS;-12.11814616;-77.03472953
Vigente;8/06/2026;20608013360;NEOHM S.A.C.;Lima Lima Santiago de Surco;JR. BARTOLOME DE LAS CASAS 480 (SANTIAGO DE SURCO, LIMA, LIMA);Mediana Empresa;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD;MS;-12.13314957;-77.01174247
Vigente;4/06/2026;20607715905;LA CASONA DORADA E.I.R.L.;Lima Lima San Juan de Lurigancho;AVENIDA PROCERES DE LA INDEPENDENCIA 3166 LA PLANICIE ANEXO 1 PISO 1 - SAN JUAN DE LURIGANCHO, LIMA, LIMA;Micro Empresa;OTRAS ACTIVIDADES DE ESPARCIMIENTO Y RECREATIVAS NO CLASIFICADOS PREVIAMENTE;MS;-11.97877742;-77.00399588
Vigente;6/06/2026;20521741806;ASOCIACION LOS OLIVOS COLLEGE;Lima Lima Comas;CAL.CONDORCANQUI NRO. 159 - PISO 1 - URB. FUNDO CHACRA CERRO (SUBLOTE159B) LIMA - LIMA - COMAS;Mediana Empresa;ACTIVIDADES DE OTRAS ASOCIACIONES NO CLASIFICADOS PREVIAMENTE;US;-11.90611494;-77.04919998
Vigente;4/06/2026;20604436029;MULTI SALUX E.I.R.L.;Lima Lima Breña;JR MANOA 135 - 139 URB. CHACRA COLORADA - BREÑA;Pequeña Empresa;ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL;MS;-12.05188516;-77.05386547
Vigente;8/06/2026;20608323725;DASIN PERU S.A.C.;Lima Lima San Isidro;CALLE MIGUEL SEMINARIO 190 INT 201 URBANIZACION SANTA ANA - SAN ISIDRO - LIMAEDIFICIO MOMENTUM TORRE 1 PISO 2 DPTO 201;Mediana Empresa;VENTA AL POR MAYOR DE EQUIPO PARTES Y PIEZAS ELECTRONICOS Y DE TELECOMUNICACIONES;MS;-12.09491807;-77.02316185
Vigente;6/06/2026;20601908761;NATGEN S.A.C.;Lima Lima San Juan de Lurigancho;CAL.LAS ANEMONAS NRO. 880 COO. LAS FLORES PISO 2  (ALT. PARAD 6 AV. LAS FLORES DE PRIMAVERA) LIMA - LIMA - SAN JUAN DE LURIGANCHO;Micro Empresa;VENTA AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICOS COSMETICOS Y ARTICULOS DE TOCADOR EN COMERCIOS ESPECIALIZADOS;US;-12.01485288;-77.01125054
Vigente;5/06/2026;20613708694;GRAFITO PAPEL S.R.L.;Lima Lima Breña;AV. TINGO MARIA NRO. 1259 URB. AZCONA LIMA - LIMA - BREÑA PISO 1;ND;IMPRESION;US;-12.05896461;-77.05838944
Vigente;6/06/2026;20602674500;PERKEL CARGO S.A.C.;CALLAO CALLAO CARMEN DE LA LEGUA REYNOSO;AV. 1RO DE MAYO NRO. 236 INT. 3 (3ER PISO) PROV. CONST. DEL CALLAO - PROV. CONST. DEL CALLAO - CARMEN DE LA LEGUA REYNOSO - PISO 3;Micro Empresa;OTRAS ACTIVIDADES DE APOYO AL TRANSPORTE;US;-12.04099847;-77.09694882
Vigente;3/06/2026;10412311421;CONDORI PILLPA VICILINO;Lima Lima Carabayllo;OTR.ETAPA VI MZA. L-2 LOTE. 24 URB. SANTO DOMINGO LIMA - LIMA - CARABAYLLO PISO 1;Pequeña Empresa;ELABORACION DE PRODUCTOS DE PANADERIA;MS;-11.8728156;-77.02881943
Vigente;3/06/2026;20608013360;NEOHM S.A.C.;Lima Lima Magdalena del Mar;JR DANIEL CARRIÓN 760, MAGDALENA DEL MAR(MAGDALENA DEL MAR, LIMA, LIMA);Mediana Empresa;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD;MS;-12.09008518;-77.06424344
Vigente;3/06/2026;20600226267;SAN PEDRITO INVERSIONES S.A.C;Lima Lima Santiago de Surco;ALBERTO SAMAME DÁVILA 1400 SANTIAGO DE SURCO (PISO 1);Pequeña Empresa;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;MS;-12.139857;-77.01194
Vigente;4/06/2026;20343680580;RUAG S.R.LTDA;Lima Lima Miraflores;AV. PASEO DE LA REPUBLICA NRO. 4956 PISO 1 URB. SURQUILLO  (PUENTE ANGAMOS CON LA VIA EXPRESA) LIMA - LIMA - MIRAFLORES;Gran Empresa;CONSTRUCCION DE EDIFICIOS;US;-12.11509264;-77.02647474
Vigente;9/06/2026;20603872682;JACOBS Y JACOBS S.A.C.;Lima Lima Miraflores;CALLE JULIAN ARIAS ARAGUES 331, MIRAFLORES. PISO 3;Micro Empresa;ACTIVIDADES DE CONSULTORIA DE GESTION;US;-12.12531118;-77.02016986
Vigente;4/06/2026;20610813055;PERU GOOD PART'S S.A.C.;Lima Lima Ate;AVENIDA IQUITOS 270 (ALT. GARCIA NARANJO CON IQUITOS) LIMA - LIMA - LA VICTORIA PISO 1;Micro Empresa;VENTA DE PARTES PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES;MS;-12.05150372;-76.95612236
Vigente;3/06/2026;20608013360;NEOHM S.A.C.;Lima Lima Surquillo;JR. LAS AGUILAS 382 (SURQUILLO, LIMA, LIMA);Mediana Empresa;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD;MS;-12.10338039;-77.02627076
Vigente;4/06/2026;20608013360;NEOHM S.A.C.;Lima Lima Magdalena del Mar;JR. TACNA 1457 (MAGDALENA DEL MAR, LIMA, LIMA);Mediana Empresa;ACTIVIDADES DE SERVICIOS DE SISTEMAS DE SEGURIDAD;MS;-12.08508778;-77.06928528
Vigente;4/06/2026;20605282441;PROGASCON SERVICIOS GENERALES S.A.C.;Lima Lima Villa El Salvador;CALLE 23 PACHACAMAC ETAPA 4 SECTOR 1 BARRIO 2 MZ K1 LT 18 PISO 2 (VILLA EL SALVADOR, LIMA, LIMA);Micro Empresa;INSTALACIONES DE FONTANERIA CALEFACCION Y AIRE ACONDICIONADO;US;-12.22121709;-76.92374262
Vigente;5/06/2026;20602798152;J.G. PROVEEDORES E.I.R.L.;Lima Lima Surquillo;JIRON FRANCISCO MORENO 180 PISO 1 - LIMA -LIMA - SURQUILLO;Micro Empresa;ELABORACION Y CONSERVACION DE CARNE;MS;-12.11849151;-77.02358937
Vigente;5/06/2026;20602798152;J.G. PROVEEDORES E.I.R.L.;Lima Lima Chorrillos;CAL.ISLAS VIRGENES MZA. A-4 LOTE. 18 PISO 2 URB. LOS CEDROS DE VILLA LIMA - LIMA - CHORRILLOS;Micro Empresa;ELABORACION Y CONSERVACION DE CARNE;MS;-12.20317602;-77.00868682
Vigente;4/06/2026;20610813055;PERU GOOD PART'S S.A.C.;Lima Lima Ate;AV. NICOLAS AYLLON NRO. 3372 URB. VILLA SANTA ANITA LIMA - LIMA - ATE PISO 1;Micro Empresa;VENTA DE PARTES PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES;MS;-12.05167671;-76.95612389
Vigente;2/06/2026;20605092749;KRISTALL JOYERIA E.I.R.L.;LIMA LIMA LIMA;JIRON HUANCAYO 288 CERCADO DE LIMA (LIMA, LIMA, LIMA) PISO 4;Pequeña Empresa;VENTA AL POR MENOR DE OTROS PRODUCTOS NUEVOS EN COMERCIOS ESPECIALIZADOS;MS;-12.06261032;-77.04072179
Vigente;2/06/2026;20601407508;CORPORACION SOJAMEL S.A.C. . .;CALLAO CALLAO CALLAO;AVENIDA LOS NENUFARES 712 MZ C LT 1 URB VIPOL- PISO 1- (CALLAO, CALLAO, CALLAO);Micro Empresa;ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS;MS;-12.00976992;-77.09908989
Vigente;2/06/2026;20607804843;INVERSIONES BICENTENARIO S.A.C.;Lima Lima Magdalena del Mar;AV. DE LA ROCA DE VERGALLO NRO. 493 TORRE 1 PISO 12 OFICINA 1215 URB. SAN FELIPE (OFICINA 1215) LIMA - LIMA - MAGDALENA DEL MAREDIFICIO SMART TORRE 1 PISO 12 DPTO 1215;Micro Empresa;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;MS;-12.09096435;-77.05689638
Vigente;2/06/2026;20602984304;AMERICAN TRACTO PARTS SERVICES S.A.C.;Lima Lima San Luis;AV. NICOLAS ARRIOLA NRO. 2088 PISO 1 URB. MARISCAL RAMON CASTILLA LIMA - LIMA - SAN LUIS;Micro Empresa;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;MS;-12.07298907;-77.00201001
Vigente;2/06/2026;20602984304;AMERICAN TRACTO PARTS SERVICES S.A.C.;Lima Lima Santa Anita;AV. SANTA ANA MZA. A34 LOTE. 7 PISO 1 ASC. CULTURA MODERNA LIMA - LIMA - SANTA ANITA;Micro Empresa;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;MS;-12.0412831;-76.95306978
Vigente;3/06/2026;20612573957;POLICLINICO LUZ DE MARIA S.A.C.;Lima Lima Comas;CAL.SAN MARTIN DE PORRES NRO. 126 PISO 1 P.J. LA MERCED (COMAS, LIMA, LIMA);ND;ACTIVIDADES DE HOSPITALES;US;-11.97110359;-77.05687544
Vigente;2/06/2026;20268214284;QUIMICA EXPRESS SOCIEDAD ANONIMA CERRADA;Lima Lima Los Olivos;"CALLE 17 MZ 38 LOTE 25
AA HH CONFRATERNIDAD LOS OLIVOS (LOS OLIVOS, LIMA, LIMA)";Pequeña Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;MS;-11.96478;-77.076108
Vigente;2/06/2026;20514299405;APOYO PSICOPEDAGOGICO ESPECIALIZADO EN PROBLEMAS DE LENGUAJE APRENDIZAJE Y CONDUCTA SAC APEPLAC SA;Lima Lima Santiago de Surco;AV. MARISCAL RAMON CASTILLA NRO. 1170 URB. TALANA LIMA - LIMA - SANTIAGO DE SURCO -PISO 3;Pequeña Empresa;OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA;MS;-12.13568538;-77.0070534
Vigente;3/06/2026;20608551248;VIAJA 360 S.A.C.;Lima Lima Breña;AVENIDA ESPAÑA NRO. 647 PISO 1 LIMA - LIMA - BREÑA;Micro Empresa;ACTIVIDADES DE AGENCIAS DE VIAJES;MS;-12.05833752;-77.04370403
Vigente;30/05/2026;20603094230;BOBA ENTERPRISES S.A.C.;Lima Lima La Molina;AV. FLORA TRISTAN NRO. 591A URB. SANTA PATRICIA II ETAPA (MZ W, LT 48) LIMA - LIMA - LA MOLINA PISO 1;Pequeña Empresa;VENTA AL POR MENOR DE ALIMENTOS EN COMERCIOS ESPECIALIZADOS;MS;-12.06897981;-76.9429601
Vigente;1/06/2026;20565723171;MC SUMINISTROS INDUSTRIALES S.A.C.;CALLAO CALLAO CALLAO;AV. OSCAR R. BENAVIDES 5071 CALLAO PISO 2;Micro Empresa;VENTA AL POR MAYOR NO ESPECIALIZADA;US;-12.05197481;-77.09121888
